"id"	"substance_id"	"ncgc_id"	"tox21_id"	"pubchem_sid"	"bottle_barcode"	"withdrawn"
91	6394	"NCGC00254192-01"	300213	144210533	"TX006201"	"false"
92	9176	"NCGC00254151-01"	300227	144210547	"TX006216"	"false"
93	1730	"NCGC00254348-01"	300449	144210767	"TX006176"	"false"
94	2642	"NCGC00254269-01"	300462	144210780	"TX006190"	"false"
95	7328	"NCGC00254438-01"	300443	144210761	"TX006170"	"false"
96	1731	"NCGC00254534-01"	300451	144210769	"TX006178"	"false"
97	5710	"NCGC00254369-01"	300388	144210706	"TX004062"	"false"
98	4036	"NCGC00256935-01"	303143	144213460	"TX004216"	"false"
99	1459	"NCGC00255623-01"	301831	144212148	"TX005759"	"false"
100	4207	"NCGC00255567-01"	301381	144211698	"TX003231"	"false"
101	1016	"NCGC00256355-01"	302730	144213047	"TX002470"	"false"
102	2417	"NCGC00255832-01"	301391	144211708	"TX003451"	"false"
103	1465	"NCGC00257483-01"	303390	144213702	"TX003872"	"false"
104	6109	"NCGC00255086-01"	301188	144211505	"TX002301"	"false"
105	321	"NCGC00257376-01"	303346	144213663	"TX003359"	"false"
106	6751	"NCGC00257515-01"	303616	144213921	"TX002094"	"false"
107	6395	"NCGC00254173-01"	300244	144210564	"TX006234"	"false"
108	8829	"NCGC00255388-01"	302434	144212751	"TX011626"	"false"
109	6695	"NCGC00254099-01"	300096	144210416	"TX002751"	"false"
110	5688	"NCGC00254373-01"	300613	144210930	"TX010388"	"false"
111	8945	"NCGC00254352-01"	300626	144210943	"TX011624"	"false"
112	4902	"NCGC00254101-01"	300017	144210337	"TX001651"	"false"
113	8598	"NCGC00255352-01"	302330	144212647	"TX009040"	"false"
114	4959	"NCGC00254517-01"	300350	144210668	"TX002289"	"false"
115	169	"NCGC00254220-01"	300117	144210437	"TX003185"	"false"
116	3094	"NCGC00090698-04"	400041	144214002	"TX009028"	"false"
117	7778	"NCGC00254103-01"	300293	144210613	"TX008552"	"false"
118	1190	"NCGC00254544-01"	300621	144210938	"TX011614"	"false"
119	2867	"NCGC00254442-01"	300421	144210739	"TX005994"	"false"
120	3221	"NCGC00254548-01"	300394	144210712	"TX004421"	"false"
121	3909	"NCGC00257306-01"	303599	144213904	"TX012512"	"false"
122	175	"NCGC00254183-01"	300058	144210378	"TX002253"	"false"
123	8512	"NCGC00253915-01"	300105	144210425	"TX002953"	"false"
124	86	"NCGC00254546-01"	300367	144210685	"TX003222"	"false"
125	2982	"NCGC00253961-01"	300056	144210376	"TX002221"	"false"
126	8508	"NCGC00254395-01"	300328	144210646	"TX001384"	"false"
127	5778	"NCGC00253981-01"	300059	144210379	"TX002257"	"false"
128	2305	"NCGC00254802-01"	300898	144211215	"TX000906"	"false"
129	2930	"NCGC00253957-01"	300182	144210502	"TX005141"	"false"
130	3778	"NCGC00015060-14"	400024	144213985	"TX005739"	"false"
131	1262	"NCGC00254356-01"	300561	144210878	"TX009342"	"false"
132	5107	"NCGC00254805-01"	300901	144211218	"TX002846"	"false"
133	2338	"NCGC00254747-01"	300844	144211161	"TX000657"	"false"
134	4179	"NCGC00255014-01"	301114	144211431	"TX001412"	"false"
135	4168	"NCGC00254689-01"	300785	144211102	"TX000700"	"false"
136	3050	"NCGC00254700-01"	300796	144211113	"TX000698"	"false"
137	1197	"NCGC00254715-01"	300811	144211128	"TX000955"	"false"
138	8550	"NCGC00256369-01"	302963	144213280	"TX009499"	"false"
139	4759	"NCGC00163724-03"	400049	144214010	"TX009154"	"false"
140	3232	"NCGC00254944-01"	301042	144211359	"TX000761"	"false"
141	145	"NCGC00254978-01"	301077	144211394	"TX000824"	"false"
142	9187	"NCGC00254342-01"	300628	144210945	"TX011627"	"false"
143	8901	"NCGC00255634-01"	301635	144211952	"TX004886"	"false"
144	8825	"NCGC00254639-01"	300733	144211050	"TX000710"	"false"
145	5117	"NCGC00255696-01"	302379	144212696	"TX009861"	"false"
146	1307	"NCGC00257204-01"	303196	144213513	"TX002775"	"false"
147	4812	"NCGC00256553-01"	302891	144213208	"TX003075"	"false"
148	2220	"NCGC00254167-01"	300114	144210434	"TX003117"	"false"
149	1057	"NCGC00254950-01"	301048	144211365	"TX002777"	"false"
150	1181	"NCGC00254934-01"	301032	144211349	"TX000814"	"false"
151	4925	"NCGC00254579-01"	300671	144210988	"TX002823"	"false"
152	153	"NCGC00254404-01"	300503	144210821	"TX007272"	"false"
153	4172	"NCGC00254503-01"	300475	144210793	"TX006644"	"false"
154	7030	"NCGC00257463-01"	303641	144213946	"TX004108"	"false"
155	2868	"NCGC00254294-01"	300332	144210650	"TX001640"	"false"
156	3285	"NCGC00254361-01"	300396	144210714	"TX004594"	"false"
157	4276	"NCGC00254270-01"	300374	144210692	"TX003405"	"false"
158	2352	"NCGC00254528-01"	300402	144210720	"TX005080"	"false"
159	4067	"NCGC00254243-01"	300481	144210799	"TX006849"	"false"
160	5233	"NCGC00254434-01"	300519	144210837	"TX008152"	"false"
161	5078	"NCGC00254010-01"	300304	144210624	"TX008788"	"false"
