"id"	"substance_id"	"file_id"	"note"
107	9377	45665	"SWG monograph, uploaded 6/28/22"
108	9378	45784	"SWG monograph, uploaded 6/28/22"
109	9379	45919	"SWG monograph, uploaded 6/28/22"
110	9380	45932	"SWG monograph, uploaded 6/28/22"
111	9381	45831	"SWG monograph, uploaded 6/28/22"
112	9382	45829	"SWG monograph, uploaded 6/28/22"
113	9383	45910	"SWG monograph, uploaded 6/28/22"
114	9384	45847	"SWG monograph, uploaded 6/28/22"
115	9385	45966	"SWG monograph, uploaded 6/28/22"
116	9386	45745	"SWG monograph, uploaded 6/28/22"
117	9387	45698	"SWG monograph, uploaded 6/28/22"
118	9388	45661	"SWG monograph, uploaded 6/28/22"
119	9389	45794	"SWG monograph, uploaded 6/28/22"
120	9390	45711	"SWG monograph, uploaded 6/28/22"
121	9391	45824	"SWG monograph, uploaded 6/28/22"
122	9392	45823	"SWG monograph, uploaded 6/28/22"
123	9393	45862	"SWG monograph, uploaded 6/28/22"
124	9394	45757	"SWG monograph, uploaded 6/28/22"
125	9395	45649	"SWG monograph, uploaded 6/28/22"
126	9396	45759	"SWG monograph, uploaded 6/28/22"
127	9397	45852	"SWG monograph, uploaded 6/28/22"
128	9398	45702	"SWG monograph, uploaded 6/28/22"
129	9399	45913	"SWG monograph, uploaded 6/28/22"
130	9400	45768	"SWG monograph, uploaded 6/28/22"
131	9401	45721	"SWG monograph, uploaded 6/28/22"
132	9402	45846	"SWG monograph, uploaded 6/28/22"
133	9403	45883	"SWG monograph, uploaded 6/28/22"
134	9404	45773	"SWG monograph, uploaded 6/28/22"
135	9405	45980	"SWG monograph, uploaded 6/28/22"
136	9406	45790	"SWG monograph, uploaded 6/28/22"
137	9407	45816	"SWG monograph, uploaded 6/28/22"
138	9408	45957	"SWG monograph, uploaded 6/28/22"
139	9409	45709	"SWG monograph, uploaded 6/28/22"
140	9410	45672	"SWG monograph, uploaded 6/28/22"
141	9411	45889	"SWG monograph, uploaded 6/28/22"
142	9412	45869	"SWG monograph, uploaded 6/28/22"
143	9413	45680	"SWG monograph, uploaded 6/28/22"
144	9414	45814	"SWG monograph, uploaded 6/28/22"
145	9415	45958	"SWG monograph, uploaded 6/28/22"
146	9416	45700	"SWG monograph, uploaded 6/28/22"
147	9417	45917	"SWG monograph, uploaded 6/28/22"
148	9418	45970	"SWG monograph, uploaded 6/28/22"
149	9419	45952	"SWG monograph, uploaded 6/28/22"
150	9420	45979	"SWG monograph, uploaded 6/28/22"
151	9421	45918	"SWG monograph, uploaded 6/28/22"
152	9422	45897	"SWG monograph, uploaded 6/28/22"
153	9423	45931	"SWG monograph, uploaded 6/28/22"
154	9424	45657	"SWG monograph, uploaded 6/28/22"
155	9425	45896	"SWG monograph, uploaded 6/28/22"
156	9426	45882	"SWG monograph, uploaded 6/28/22"
157	9427	45836	"SWG monograph, uploaded 6/28/22"
158	9428	45796	"SWG monograph, uploaded 6/28/22"
159	9429	45895	"SWG monograph, uploaded 6/28/22"
160	9430	45953	"SWG monograph, uploaded 6/28/22"
161	9431	45696	"SWG monograph, uploaded 6/28/22"
162	9432	45740	"SWG monograph, uploaded 6/28/22"
163	9433	45861	"SWG monograph, uploaded 6/28/22"
164	9434	45945	"SWG monograph, uploaded 6/28/22"
165	9435	45849	"SWG monograph, uploaded 6/28/22"
166	9436	45655	"SWG monograph, uploaded 6/28/22"
167	9437	45763	"SWG monograph, uploaded 6/28/22"
168	9438	45694	"SWG monograph, uploaded 6/28/22"
169	9439	45664	"SWG monograph, uploaded 6/28/22"
170	9440	45674	"SWG monograph, uploaded 6/28/22"
171	9441	45880	"SWG monograph, uploaded 6/28/22"
172	9442	45731	"SWG monograph, uploaded 6/28/22"
173	9443	45812	"SWG monograph, uploaded 6/28/22"
174	9444	45965	"SWG monograph, uploaded 6/28/22"
175	9445	45944	"SWG monograph, uploaded 6/28/22"
176	9446	45901	"SWG monograph, uploaded 6/28/22"
177	9447	45912	"SWG monograph, uploaded 6/28/22"
178	9448	45858	"SWG monograph, uploaded 6/28/22"
179	9449	45819	"SWG monograph, uploaded 6/28/22"
180	9450	45720	"SWG monograph, uploaded 6/28/22"
181	9451	45767	"SWG monograph, uploaded 6/28/22"
182	9452	45810	"SWG monograph, uploaded 6/28/22"
183	9453	45964	"SWG monograph, uploaded 6/28/22"
184	9454	45941	"SWG monograph, uploaded 6/28/22"
185	9455	45734	"SWG monograph, uploaded 6/28/22"
186	9456	45943	"SWG monograph, uploaded 6/28/22"
187	9457	45654	"SWG monograph, uploaded 6/28/22"
188	9458	45716	"SWG monograph, uploaded 6/28/22"
189	9459	45800	"SWG monograph, uploaded 6/28/22"
190	9460	45811	"SWG monograph, uploaded 6/28/22"
191	9461	45735	"SWG monograph, uploaded 6/28/22"
192	9462	45660	"SWG monograph, uploaded 6/28/22"
193	9463	45681	"SWG monograph, uploaded 6/28/22"
194	9464	45916	"SWG monograph, uploaded 6/28/22"
195	9465	45974	"SWG monograph, uploaded 6/28/22"
196	9466	45659	"SWG monograph, uploaded 6/28/22"
197	9467	45755	"SWG monograph, uploaded 6/28/22"
198	9468	45779	"SWG monograph, uploaded 6/28/22"
199	9469	45857	"SWG monograph, uploaded 6/28/22"
200	9470	45736	"SWG monograph, uploaded 6/28/22"
201	9471	45761	"SWG monograph, uploaded 6/28/22"
202	9472	45875	"SWG monograph, uploaded 6/28/22"
203	9473	45863	"SWG monograph, uploaded 6/28/22"
204	9474	45756	"SWG monograph, uploaded 6/28/22"
205	9475	45841	"SWG monograph, uploaded 6/28/22"
206	9476	45886	"SWG monograph, uploaded 6/28/22"
207	9477	45795	"SWG monograph, uploaded 6/28/22"
208	9478	45903	"SWG monograph, uploaded 6/28/22"
209	9479	45719	"SWG monograph, uploaded 6/28/22"
210	9480	45876	"SWG monograph, uploaded 6/28/22"
211	9481	45815	"SWG monograph, uploaded 6/28/22"
212	9482	45987	"SWG monograph, uploaded 6/28/22"
213	9483	45955	"SWG monograph, uploaded 6/28/22"
214	9484	45868	"SWG monograph, uploaded 6/28/22"
215	9485	45746	"SWG monograph, uploaded 6/28/22"
216	9486	45682	"SWG monograph, uploaded 6/28/22"
217	9487	45708	"SWG monograph, uploaded 6/28/22"
218	9488	45748	"SWG monograph, uploaded 6/28/22"
219	9489	45712	"SWG monograph, uploaded 6/28/22"
220	9490	45954	"SWG monograph, uploaded 6/28/22"
221	9491	45770	"SWG monograph, uploaded 6/28/22"
222	9492	45738	"SWG monograph, uploaded 6/28/22"
223	9493	45760	"SWG monograph, uploaded 6/28/22"
224	9494	45725	"SWG monograph, uploaded 6/28/22"
225	9495	45878	"SWG monograph, uploaded 6/28/22"
226	9496	45825	"SWG monograph, uploaded 6/28/22"
227	9497	45842	"SWG monograph, uploaded 6/28/22"
228	9498	45983	"SWG monograph, uploaded 6/28/22"
229	9499	45835	"SWG monograph, uploaded 6/28/22"
230	9500	45902	"SWG monograph, uploaded 6/28/22"
231	9501	45891	"SWG monograph, uploaded 6/28/22"
232	9502	45986	"SWG monograph, uploaded 6/28/22"
233	9503	45923	"SWG monograph, uploaded 6/28/22"
234	9504	45714	"SWG monograph, uploaded 6/28/22"
235	9505	45933	"SWG monograph, uploaded 6/28/22"
236	9506	45715	"SWG monograph, uploaded 6/28/22"
237	9507	45899	"SWG monograph, uploaded 6/28/22"
238	9508	45963	"SWG monograph, uploaded 6/28/22"
239	9509	45693	"SWG monograph, uploaded 6/28/22"
240	9510	45750	"SWG monograph, uploaded 6/28/22"
241	9511	45872	"SWG monograph, uploaded 6/28/22"
242	9512	45935	"SWG monograph, uploaded 6/28/22"
243	9513	45951	"SWG monograph, uploaded 6/28/22"
244	9514	45671	"SWG monograph, uploaded 6/28/22"
245	9515	45960	"SWG monograph, uploaded 6/28/22"
246	9516	45848	"SWG monograph, uploaded 6/28/22"
247	9517	45885	"SWG monograph, uploaded 6/28/22"
248	9518	45939	"SWG monograph, uploaded 6/28/22"
249	9519	45909	"SWG monograph, uploaded 6/28/22"
250	9520	45881	"SWG monograph, uploaded 6/28/22"
251	9521	45688	"SWG monograph, uploaded 6/28/22"
252	9522	45758	"SWG monograph, uploaded 6/28/22"
253	9523	45976	"SWG monograph, uploaded 6/28/22"
254	9524	45973	"SWG monograph, uploaded 6/28/22"
255	9525	45845	"SWG monograph, uploaded 6/28/22"
256	9526	45697	"SWG monograph, uploaded 6/28/22"
257	9527	45907	"SWG monograph, uploaded 6/28/22"
258	9528	45894	"SWG monograph, uploaded 6/28/22"
259	9529	45877	"SWG monograph, uploaded 6/28/22"
260	9530	45802	"SWG monograph, uploaded 6/28/22"
261	9531	45879	"SWG monograph, uploaded 6/28/22"
262	9532	45667	"SWG monograph, uploaded 6/28/22"
263	9533	45788	"SWG monograph, uploaded 6/28/22"
264	9534	45691	"SWG monograph, uploaded 6/28/22"
265	9535	45717	"SWG monograph, uploaded 6/28/22"
266	9536	45769	"SWG monograph, uploaded 6/28/22"
267	9537	45764	"SWG monograph, uploaded 6/28/22"
268	9538	45656	"SWG monograph, uploaded 6/28/22"
269	9539	45833	"SWG monograph, uploaded 6/28/22"
270	9540	45690	"SWG monograph, uploaded 6/28/22"
271	9541	45985	"SWG monograph, uploaded 6/28/22"
272	9542	45822	"SWG monograph, uploaded 6/28/22"
273	9543	45792	"SWG monograph, uploaded 6/28/22"
274	9544	45686	"SWG monograph, uploaded 6/28/22"
275	9545	45925	"SWG monograph, uploaded 6/28/22"
276	9546	45675	"SWG monograph, uploaded 6/28/22"
277	9547	45653	"SWG monograph, uploaded 6/28/22"
278	9548	45840	"SWG monograph, uploaded 6/28/22"
279	9549	45874	"SWG monograph, uploaded 6/28/22"
280	9550	45948	"SWG monograph, uploaded 6/28/22"
281	9551	45786	"SWG monograph, uploaded 6/28/22"
282	9552	45699	"SWG monograph, uploaded 6/28/22"
283	9553	45775	"SWG monograph, uploaded 6/28/22"
284	9554	45950	"SWG monograph, uploaded 6/28/22"
285	9555	45860	"SWG monograph, uploaded 6/28/22"
286	9556	45949	"SWG monograph, uploaded 6/28/22"
287	9557	45805	"SWG monograph, uploaded 6/28/22"
288	9558	45838	"SWG monograph, uploaded 6/28/22"
289	9559	45754	"SWG monograph, uploaded 6/28/22"
290	9560	45873	"SWG monograph, uploaded 6/28/22"
291	9561	45743	"SWG monograph, uploaded 6/28/22"
292	9562	45972	"SWG monograph, uploaded 6/28/22"
293	9563	45673	"SWG monograph, uploaded 6/28/22"
294	9564	45867	"SWG monograph, uploaded 6/28/22"
295	9565	45724	"SWG monograph, uploaded 6/28/22"
296	9566	45922	"SWG monograph, uploaded 6/28/22"
297	9567	45937	"SWG monograph, uploaded 6/28/22"
298	9568	45821	"SWG monograph, uploaded 6/28/22"
299	9569	45915	"SWG monograph, uploaded 6/28/22"
300	9570	45689	"SWG monograph, uploaded 6/28/22"
301	9571	45782	"SWG monograph, uploaded 6/28/22"
302	9572	45707	"SWG monograph, uploaded 6/28/22"
303	9573	45834	"SWG monograph, uploaded 6/28/22"
304	9574	45704	"SWG monograph, uploaded 6/28/22"
305	9575	45652	"SWG monograph, uploaded 6/28/22"
306	9576	45817	"SWG monograph, uploaded 6/28/22"
307	9577	45856	"SWG monograph, uploaded 6/28/22"
308	9578	45650	"SWG monograph, uploaded 6/28/22"
309	9579	45906	"SWG monograph, uploaded 6/28/22"
310	9580	45744	"SWG monograph, uploaded 6/28/22"
311	9581	45832	"SWG monograph, uploaded 6/28/22"
312	9582	45807	"SWG monograph, uploaded 6/28/22"
313	9583	45871	"SWG monograph, uploaded 6/28/22"
314	9584	45884	"SWG monograph, uploaded 6/28/22"
315	9585	45827	"SWG monograph, uploaded 6/28/22"
316	9586	45813	"SWG monograph, uploaded 6/28/22"
317	9587	45772	"SWG monograph, uploaded 6/28/22"
318	9588	45940	"SWG monograph, uploaded 6/28/22"
319	9589	45820	"SWG monograph, uploaded 6/28/22"
320	9590	45679	"SWG monograph, uploaded 6/28/22"
321	9591	45787	"SWG monograph, uploaded 6/28/22"
322	9592	45942	"SWG monograph, uploaded 6/28/22"
323	9593	45713	"SWG monograph, uploaded 6/28/22"
324	9594	45924	"SWG monograph, uploaded 6/28/22"
325	9595	45938	"SWG monograph, uploaded 6/28/22"
326	9596	45762	"SWG monograph, uploaded 6/28/22"
327	9597	45678	"SWG monograph, uploaded 6/28/22"
328	9598	45651	"SWG monograph, uploaded 6/28/22"
329	9599	45785	"SWG monograph, uploaded 6/28/22"
330	9600	45670	"SWG monograph, uploaded 6/28/22"
331	9601	45828	"SWG monograph, uploaded 6/28/22"
332	9602	45962	"SWG monograph, uploaded 6/28/22"
333	9603	45969	"SWG monograph, uploaded 6/28/22"
334	9604	45859	"SWG monograph, uploaded 6/28/22"
335	9605	45809	"SWG monograph, uploaded 6/28/22"
336	9606	45742	"SWG monograph, uploaded 6/28/22"
337	9607	45818	"SWG monograph, uploaded 6/28/22"
338	9608	45669	"SWG monograph, uploaded 6/28/22"
339	9609	45844	"SWG monograph, uploaded 6/28/22"
340	9610	45981	"SWG monograph, uploaded 6/28/22"
341	9611	45930	"SWG monograph, uploaded 6/28/22"
342	9612	45854	"SWG monograph, uploaded 6/28/22"
343	9613	45851	"SWG monograph, uploaded 6/28/22"
344	9614	45648	"SWG monograph, uploaded 6/28/22"
345	9615	45850	"SWG monograph, uploaded 6/28/22"
346	1377	45988	"N-Ethylperfluorooctanesulfonamide LC-MS"
347	9616	45989	"Perfluorohexanoic acid LC-MS"
348	7970	45990	"Ammonium perfluorooctanoate LC-MS"
349	9617	45991	"Perfluoro-3,6-dioxaheptanoic acid LC-MS"
350	9618	45992	"Perfluoro-2-methyl-3-oxahexanoic acid LC-MS"
351	9619	45993	"2-Aminohexafluoropropan-2-ol GC-MS"
352	9620	45994	"1H,1H,5H-Perfluoropentanol GC-MS"
353	9621	45995	"Methyl 2H,2H,3H,3H-perfluoroheptanoate GC-MS"
354	9622	45996	"4:4 Fluorotelomer alcohol GC-MS"
355	9623	45997	"2-Vinylperfluorobutane GC-MS"
