"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2025	123	17	"false"	17	1	
2027	125	17	"false"	17	1	
2028	126	17	"false"	17	1	
2029	127	17	"false"	17	1	
2030	128	17	"false"	17	1	
2031	130	17	"false"	17	1	
2032	131	17	"false"	17	1	
2033	132	17	"false"	17	1	
2034	133	17	"false"	17	1	
2035	134	17	"false"	17	1	
2026	124	17	"true"	17	1	
1975	36	17	"true"	17	1	
2037	136	17	"false"	17	1	
2039	140	17	"false"	17	1	
2040	142	17	"false"	17	1	
2041	144	17	"false"	17	1	
2042	146	17	"false"	17	1	
2043	147	17	"false"	17	1	
2044	148	17	"false"	17	1	
2045	149	17	"false"	17	1	
2046	150	17	"false"	17	1	
2047	153	17	"false"	17	1	
2048	154	17	"false"	17	1	
2049	155	17	"false"	17	1	
2444	788	28	"false"	28		
2050	157	17	"false"	17	1	
2051	158	17	"false"	17	1	
2052	159	17	"false"	17	1	
2053	161	17	"false"	17	1	
2054	163	17	"false"	17	1	
2055	167	17	"false"	17	1	
2056	168	17	"false"	17	1	
2057	169	17	"false"	17	1	
2058	174	17	"false"	17	1	
2059	176	17	"false"	17	1	
2060	178	17	"false"	17	1	
2061	180	17	"false"	17	1	
2062	181	17	"false"	17	1	
2063	182	17	"false"	17	1	
2064	183	17	"false"	17	1	
2065	185	17	"false"	17	1	
2066	186	17	"false"	17	1	
2067	190	17	"false"	17	1	
2068	192	17	"false"	17	1	
2069	193	17	"false"	17	1	
2070	194	17	"false"	17	1	
2071	195	17	"false"	17	1	
2072	196	17	"false"	17	1	
2073	197	17	"false"	17	1	
2074	198	17	"false"	17	1	
2075	199	17	"false"	17	1	
2076	200	17	"false"	17	1	
2077	202	17	"false"	17	1	
2078	203	21	"false"	21	1	
2079	204	17	"false"	17	1	
2080	205	17	"false"	17	1	
2081	206	17	"false"	17	1	
2082	207	17	"false"	17	1	
2083	208	17	"false"	17	1	
2084	210	17	"false"	17	1	
2085	211	17	"false"	17	1	
2086	215	17	"false"	17	1	
2087	216	17	"false"	17	1	
2088	217	17	"false"	17	1	
2089	220	17	"false"	17	1	
2091	222	17	"false"	17	1	
2092	224	17	"false"	17	1	
2093	225	17	"false"	17	1	
2094	226	28	"false"	28	1	
2095	227	17	"false"	17	1	
2096	228	17	"false"	17	1	
2097	229	17	"false"	17	1	
2098	230	17	"false"	17	1	
2099	231	17	"false"	17	1	
2100	233	17	"false"	17	1	
2101	234	17	"false"	17	1	
2103	236	17	"false"	17	1	
2104	237	17	"false"	17	1	
2105	238	17	"false"	17	1	
2106	241	17	"false"	17	1	
2107	242	17	"false"	17	1	
2108	243	17	"false"	17	1	
2109	244	17	"false"	17	1	
2110	245	17	"false"	17	1	
2111	247	17	"false"	17	1	
2112	250	17	"false"	17	1	
2113	251	17	"false"	17	1	
2114	252	17	"false"	17	1	
2115	253	17	"false"	17	1	
2116	255	17	"false"	17	1	
2117	256	17	"false"	17	1	
2118	257	17	"false"	17	1	
2119	258	17	"false"	17	1	
2120	259	28	"false"	28	1	
2121	261	26	"false"	26	1	
2122	263	17	"false"	17	1	
2123	266	17	"false"	17	1	
2124	267	17	"false"	17	1	
2125	268	17	"false"	17	1	
2126	269	17	"false"	17	1	
2127	270	17	"false"	17	1	
2128	272	17	"false"	17	1	
2129	273	17	"false"	17	1	
2130	275	17	"false"	17	1	
2131	276	17	"false"	17	1	
2132	277	17	"false"	17	1	
2133	282	17	"false"	17	1	
2134	284	17	"false"	17	1	
2135	285	17	"false"	17	1	
2136	286	17	"false"	17	1	
2137	288	17	"false"	17	1	
2138	289	28	"false"	28	1	
2139	291	17	"false"	17	1	
2140	292	17	"false"	17	1	
2141	293	17	"false"	17	1	
2142	294	17	"false"	17	1	
2143	295	17	"false"	17	1	
2144	296	26	"false"	26	1	
2146	300	17	"false"	17	1	
2147	305	17	"false"	17	1	
2148	308	17	"false"	17	1	
2149	309	17	"false"	17	1	
2150	312	26	"false"	26	1	
2151	313	17	"false"	17	1	
2152	315	17	"false"	17	1	
2153	316	17	"false"	17	1	
2154	317	17	"false"	17	1	
2155	318	17	"false"	17	1	
2156	319	17	"false"	17	1	
2157	320	17	"false"	17	1	
2158	323	17	"false"	17	1	
2159	324	17	"false"	17	1	
2160	325	17	"false"	17	1	
2161	328	17	"false"	17	1	
2162	329	17	"false"	17	1	
2163	331	17	"false"	17	1	
2164	332	17	"false"	17	1	
2165	333	17	"false"	17	1	
2166	334	21	"false"	21	1	
2167	335	17	"false"	17	1	
2168	336	17	"false"	17	1	
2169	337	17	"false"	17	1	
2170	340	17	"false"	17	1	
2171	341	17	"false"	17	1	
2172	342	17	"false"	17	1	
2173	343	17	"false"	17	1	
2174	345	17	"false"	17	1	
2175	347	17	"false"	17	1	
2176	348	17	"false"	17	1	
2177	349	17	"false"	17	1	
2178	352	17	"false"	17	1	
2179	354	17	"false"	17	1	
2180	355	17	"false"	17	1	
2181	356	17	"false"	17	1	
2182	358	17	"false"	17	1	
2184	360	17	"false"	17	1	
2185	361	17	"false"	17	1	
2186	362	17	"false"	17	1	
2187	363	17	"false"	17	1	
2188	364	17	"false"	17	1	
2189	365	17	"false"	17	1	
2190	366	17	"false"	17	1	
2191	367	17	"false"	17	1	
2192	369	17	"false"	17	1	
2193	370	17	"false"	17	1	
2194	374	17	"false"	17	1	
2195	375	17	"false"	17	1	
2197	377	17	"false"	17	1	
2198	378	17	"false"	17	1	
2199	382	18	"false"	18	1	
2200	387	17	"false"	17	1	
2201	389	17	"false"	17	1	
2202	390	17	"false"	17	1	
2204	393	17	"false"	17	1	
2205	395	21	"false"	21	1	
2206	398	17	"false"	17	1	
2207	402	17	"false"	17	1	
2208	403	17	"false"	17	1	
2209	405	17	"false"	17	1	
2210	406	17	"false"	17	1	
2211	408	17	"false"	17	1	
2212	409	17	"false"	17	1	
2213	411	17	"false"	17	1	
2214	412	17	"false"	17	1	
2215	413	17	"false"	17	1	
2216	414	17	"false"	17	1	
2217	415	21	"false"	21	1	
2218	416	17	"false"	17	1	
2219	419	17	"false"	17	1	
2220	420	17	"false"	17	1	
2203	392	17	"true"	17	1	
2090	221	21	"true"	21	1	
2183	359	17	"true"	17	1	
2222	422	25	"false"	25	1	
2223	423	17	"false"	17	1	
2224	424	17	"false"	17	1	
2225	427	17	"false"	17	1	
2227	430	17	"false"	17	1	
2228	431	17	"false"	17	1	
2229	432	17	"false"	17	1	
2230	433	17	"false"	17	1	
2231	434	17	"false"	17	1	
2232	435	17	"false"	17	1	
2233	438	17	"false"	17	1	
2234	440	17	"false"	17	1	
2235	441	17	"false"	17	1	
2236	445	17	"false"	17	1	
2237	446	17	"false"	17	1	
2238	447	17	"false"	17	1	
2240	449	17	"false"	17	1	
2242	453	17	"false"	17	1	
2243	454	17	"false"	17	1	
2244	455	26	"false"	26	1	
