"id"	"list_id"	"substance_id"
1	1	8407
2	1	9004
3	1	4539
4	1	918
5	1	8937
6	1	7464
7	1	7455
8	1	3751
9	1	8408
10	1	5571
11	1	5323
12	1	4018
13	1	913
14	1	594
15	1	8077
16	1	3704
17	1	9138
18	1	2530
19	1	1881
20	1	1783
21	1	1622
22	1	9005
23	1	4025
24	1	70
25	1	3550
26	1	8056
27	1	7466
28	1	1325
29	1	5568
30	1	4493
31	1	3706
32	1	879
33	1	1301
34	1	1322
35	1	2582
36	1	9098
37	1	5997
38	1	3700
39	1	914
40	1	4389
41	1	385
42	1	8235
43	1	3707
44	1	920
45	1	1809
46	1	916
47	1	8746
48	1	410
49	1	7936
50	1	7526
51	1	4144
52	1	3184
53	1	5156
54	1	5573
55	1	2153
56	1	912
57	1	6521
58	1	5575
59	1	7453
60	1	6457
61	1	4642
62	1	5564
63	1	7362
64	1	5566
65	1	3182
66	1	5988
67	1	9308
68	1	8245
69	1	4913
70	1	1715
71	1	6947
72	1	3210
73	1	6021
74	1	5500
75	1	8493
76	1	2280
77	1	8803
78	1	5955
79	1	1872
80	1	2677
81	1	4526
82	1	4224
83	1	1751
84	1	3176
85	1	1258
86	1	5941
87	1	390
88	1	8305
89	1	2656
90	1	8401
91	1	3079
92	1	6214
93	1	1321
94	1	8335
95	1	6516
96	1	2668
97	1	537
98	1	96
99	1	6955
100	1	6511
101	1	3701
102	1	7462
103	1	7503
104	1	7954
105	1	2019
106	1	5063
107	1	132
108	1	3183
109	1	675
110	1	8293
111	1	7879
112	1	6405
113	1	2538
114	1	909
115	1	6019
116	1	6013
117	1	771
118	1	400
119	1	5316
120	1	5565
121	1	7728
122	1	3185
123	1	5885
124	1	4644
125	1	5214
126	1	6000
127	1	7460
128	1	4639
129	1	3103
130	1	6519
131	1	2774
132	1	445
133	1	8133
134	1	6225
135	1	5572
136	1	3583
137	1	1303
138	1	3570
139	1	911
140	1	3709
141	1	3589
142	1	8754
143	1	4135
144	1	7623
145	1	9312
146	1	8409
147	1	8057
148	1	4538
149	1	5714
150	1	4132
151	1	406
152	1	5059
153	1	5058
154	1	7878
155	1	1874
156	1	4777
157	1	4641
158	1	7458
159	1	394
160	1	8402
161	1	7915
162	1	3504
163	1	5569
164	1	1878
165	1	8951
166	1	6514
167	1	5570
168	1	1302
169	1	3708
170	1	5082
171	1	4128
172	1	9316
173	1	9009
174	1	2788
175	1	7456
176	1	8405
177	1	8272
178	1	2293
179	1	7899
180	1	2775
181	1	1870
182	1	8849
183	1	3485
184	1	4388
185	1	4640
186	1	3604
187	1	4643
188	1	4954
189	1	2783
190	1	2555
191	1	5716
192	1	2776
193	1	8925
194	1	2786
195	1	5062
196	1	2347
197	1	4636
198	1	2267
199	1	8973
200	1	5469
201	1	7787
202	1	7459
203	1	6956
204	1	8815
205	1	6115
206	1	5057
207	1	388
208	1	4308
209	1	7461
210	1	915
211	1	1764
212	1	3069
213	1	7881
214	1	6517
215	1	4235
216	1	839
217	1	8800
218	1	7457
219	1	2781
220	1	2779
221	1	917
222	1	9311
223	1	8696
224	1	1766
225	1	4832
226	1	6043
227	1	518
228	1	4637
229	1	8668
230	1	3448
231	1	2283
232	1	6656
233	1	7995
234	1	2782
235	1	6949
236	1	3560
237	1	1887
238	1	7463
239	1	6928
240	1	1739
241	1	6966
242	1	461
243	1	9364
244	1	6183
245	1	3059
246	1	7950
247	1	6667
248	1	8664
249	1	8203
250	1	8031
251	1	9314
252	1	961
253	1	386
254	1	8799
255	1	5574
256	1	2400
257	1	6851
258	1	9315
259	1	2290
260	1	560
261	1	4061
262	1	2966
263	1	7414
264	1	9206
265	1	4645
266	1	2778
267	1	6362
268	1	5535
269	1	8281
270	1	6589
271	1	9309
272	1	3855
273	1	6512
274	1	3703
275	1	7743
276	1	9313
277	1	7184
278	1	6175
279	1	2246
280	1	6824
281	1	4477
282	1	3645
283	1	2480
284	1	6817
285	1	444
286	1	1879
287	1	4133
288	1	1880
289	1	1441
290	1	9006
291	1	1800
292	1	8410
293	1	3702
294	1	2669
295	1	2658
296	1	3911
297	1	1326
298	1	6843
299	1	193
300	1	919
301	1	9205
302	1	8111
303	1	6515
304	1	1876
305	1	6274
306	1	7880
307	1	7454
308	1	8404
309	1	3586
310	1	1714
311	1	387
312	1	6957
313	1	7374
314	1	3125
315	1	1873
316	1	6833
317	1	7884
318	1	5055
319	1	393
320	1	8289
321	1	4342
322	1	395
323	1	7465
324	1	8802
325	1	4187
326	1	3705
327	1	5064
328	1	1877
329	1	6248
330	1	9310
331	1	6929
332	1	3348
333	1	4148
334	1	7862
335	1	8813
336	1	7452
337	1	5567
338	1	8403
339	1	8406
340	1	2784
341	1	7295
342	1	7318
343	1	5576
344	1	2202
345	1	379
346	1	6518
347	1	9307
348	1	7028
349	1	1327
350	1	6750
351	1	5996
352	1	2785
353	1	6825
354	1	910
355	1	2787
356	1	2780
357	1	2777
358	1	5060
359	1	1871
360	1	1875
361	1	2168
362	1	4566
363	1	6520
364	1	6513
365	1	3300
366	1	5056
367	1	8298
368	1	4638
369	2	71
370	2	122
371	2	408
372	2	414
373	2	1005
374	2	1065
375	2	1198
376	2	1349
377	2	2175
378	2	2287
379	2	2378
380	2	2655
381	2	3071
382	2	3216
383	2	3245
384	2	3247
385	2	3262
386	2	3675
387	2	3850
388	2	4145
389	2	4146
390	2	4147
391	2	4905
392	2	4907
393	2	4923
394	2	5074
395	2	5195
396	2	5704
397	2	6016
398	2	6017
399	2	6047
400	2	6064
401	2	6374
402	2	6633
403	2	6636
404	2	7011
405	2	7014
406	2	7540
407	2	7576
408	2	7909
409	2	8223
410	2	8226
411	2	8376
412	2	8556
413	2	8666
414	2	8676
415	2	8817
416	2	8841
417	2	8869
418	2	8931
419	2	8940
420	2	9118
421	2	9151
422	3	288
423	3	1088
424	3	1512
425	3	1865
426	3	3121
427	3	4250
428	3	5006
429	3	5232
430	3	5923
431	3	6224
432	3	7800
433	3	8200
434	3	8306
435	3	8800
436	3	8813
437	3	8901
438	3	9158
439	3	650
440	3	719
441	3	1300
442	3	1445
443	3	1450
444	3	1595
445	3	1658
446	3	2450
447	3	2476
448	3	2578
449	3	2581
450	3	2604
451	3	2690
452	3	3187
453	3	3432
454	3	3553
455	3	3859
456	3	3938
457	3	4936
458	3	5044
459	3	5088
460	3	5184
461	3	5206
462	3	6351
463	3	6684
464	3	8044
465	3	8225
466	3	8744
467	3	802
468	3	1049
469	3	1533
470	3	1747
471	3	3083
472	3	3378
473	3	4086
474	3	4270
475	3	5388
476	3	5880
477	3	193
478	3	2162
479	3	4972
480	3	7830
481	3	8801
482	3	1283
483	3	1456
484	3	2022
485	3	2076
486	3	3041
487	3	3862
488	3	4120
489	3	4137
490	3	4330
491	3	5765
492	3	6908
493	3	6956
494	3	7136
495	3	7652
496	3	7818
497	3	7938
498	3	8307
500	3	483
501	3	1030
502	3	1059
503	3	2032
504	3	2222
505	3	2856
506	3	3129
507	3	3163
508	3	3182
509	3	4254
510	3	4806
511	3	4876
512	3	5154
513	3	5737
514	3	5924
515	3	6205
516	3	7543
517	4	91
518	4	726
519	4	835
520	4	845
521	4	990
522	4	992
523	4	1017
524	4	1224
525	4	1318
526	4	1408
527	4	1633
528	4	1657
529	4	1680
530	4	1688
531	4	1710
532	4	1787
533	4	1793
534	4	1836
535	4	1847
536	4	2376
537	4	2521
538	4	2594
539	4	3097
540	4	3447
541	4	3483
542	4	3647
543	4	3648
544	4	3930
545	4	3966
546	4	4124
547	4	4429
548	4	4437
549	4	4471
550	4	4688
551	4	4872
552	4	5139
553	4	5144
554	4	5259
555	4	5327
556	4	5392
557	4	5421
558	4	5470
559	4	5494
560	4	5543
561	4	5793
562	4	5819
563	4	5837
564	4	6162
565	4	6275
566	4	6292
567	4	6433
568	4	6439
569	4	6453
570	4	6749
571	4	6943
572	4	7128
573	4	7294
574	4	7378
575	4	7380
576	4	7413
577	4	7421
578	4	8140
579	4	8239
580	4	8251
581	4	8328
582	4	8451
583	4	8470
584	4	8747
585	4	9036
586	4	9069
587	4	9128
588	5	65
589	5	66
590	5	69
591	5	75
592	5	76
593	5	82
594	5	84
595	5	89
596	5	90
597	5	98
598	5	99
599	5	102
600	5	105
601	5	107
602	5	108
603	5	115
604	5	121
605	5	122
606	5	124
607	5	131
608	5	134
609	5	143
610	5	144
611	5	154
612	5	155
613	5	156
614	5	157
615	5	158
616	5	159
617	5	161
618	5	162
619	5	163
620	5	164
621	5	165
622	5	166
623	5	167
624	5	168
625	5	169
626	5	171
627	5	172
628	5	174
629	5	180
630	5	181
631	5	182
632	5	185
633	5	186
634	5	197
635	5	225
636	5	254
637	5	264
638	5	265
639	5	270
640	5	272
641	5	278
642	5	281
643	5	285
644	5	286
645	5	291
646	5	299
647	5	301
648	5	303
649	5	304
650	5	305
651	5	306
652	5	309
653	5	311
654	5	312
655	5	314
656	5	318
657	5	321
658	5	323
659	5	324
660	5	326
661	5	331
662	5	332
663	5	341
664	5	346
665	5	348
666	5	349
667	5	350
668	5	355
669	5	359
670	5	360
671	5	362
672	5	363
673	5	364
674	5	366
675	5	367
676	5	368
677	5	369
678	5	372
679	5	373
680	5	377
681	5	383
682	5	396
683	5	402
684	5	411
685	5	415
686	5	426
687	5	427
688	5	435
689	5	436
690	5	472
691	5	473
692	5	479
693	5	481
694	5	504
695	5	509
696	5	510
697	5	511
698	5	512
699	5	513
700	5	521
701	5	533
702	5	538
703	5	540
704	5	558
705	5	563
706	5	565
707	5	569
708	5	578
709	5	582
710	5	588
711	5	598
712	5	599
713	5	601
714	5	607
715	5	608
716	5	624
717	5	681
718	5	717
719	5	722
720	5	749
721	5	751
722	5	756
723	5	758
724	5	759
725	5	768
726	5	769
727	5	772
728	5	799
729	5	801
730	5	803
731	5	804
732	5	807
733	5	808
734	5	819
735	5	820
736	5	829
737	5	898
738	5	903
739	5	906
740	5	925
741	5	927
742	5	928
743	5	929
744	5	930
745	5	931
746	5	934
747	5	935
748	5	937
749	5	940
750	5	945
751	5	946
752	5	949
753	5	952
754	5	953
755	5	954
756	5	958
757	5	959
758	5	980
759	5	999
760	5	1005
761	5	1008
762	5	1010
763	5	1012
764	5	1014
765	5	1016
766	5	1018
767	5	1020
768	5	1025
769	5	1027
770	5	1030
771	5	1031
772	5	1034
773	5	1036
774	5	1042
775	5	1043
776	5	1045
777	5	1046
778	5	1047
779	5	1050
780	5	1059
781	5	1065
782	5	1069
783	5	1073
784	5	1077
785	5	1078
786	5	1080
787	5	1081
788	5	1082
789	5	1085
790	5	1087
791	5	1088
792	5	1089
793	5	1090
794	5	1092
795	5	1093
796	5	1094
797	5	1095
798	5	1096
799	5	1098
800	5	1102
801	5	1103
802	5	1104
803	5	1106
804	5	1108
805	5	1109
806	5	1111
807	5	1122
808	5	1148
809	5	1174
810	5	1176
811	5	1182
812	5	1187
813	5	1192
814	5	1194
815	5	1200
816	5	1202
817	5	1205
818	5	1210
819	5	1212
820	5	1214
821	5	1217
822	5	1219
823	5	1223
824	5	1225
825	5	1227
826	5	1228
827	5	1232
828	5	1233
829	5	1235
830	5	1237
831	5	1247
832	5	1254
833	5	1255
834	5	1266
835	5	1267
836	5	1274
837	5	1275
838	5	1276
839	5	1278
840	5	1279
841	5	1280
842	5	1285
843	5	1287
844	5	1290
845	5	1291
846	5	1292
847	5	1294
848	5	1295
849	5	1298
850	5	1304
851	5	1306
852	5	1310
853	5	1315
854	5	1320
855	5	1337
856	5	1338
857	5	1339
858	5	1342
859	5	1343
860	5	1346
861	5	1347
862	5	1349
863	5	1352
864	5	1353
865	5	1360
866	5	1361
867	5	1364
868	5	1372
869	5	1382
870	5	1416
871	5	1420
872	5	1424
873	5	1428
874	5	1430
875	5	1431
876	5	1439
877	5	1452
878	5	1453
879	5	1459
880	5	1462
881	5	1464
882	5	1465
883	5	1466
884	5	1469
885	5	1505
886	5	1509
887	5	1510
888	5	1513
889	5	1515
890	5	1518
891	5	1533
892	5	1541
893	5	1542
894	5	1552
895	5	1620
896	5	1658
897	5	1682
898	5	1706
899	5	1717
900	5	1718
901	5	1720
902	5	1722
903	5	1726
904	5	1742
905	5	1743
906	5	1745
907	5	1748
908	5	1753
909	5	1761
910	5	1763
911	5	1805
912	5	1862
913	5	1884
914	5	1886
915	5	1890
916	5	1895
917	5	1902
918	5	1904
919	5	1956
920	5	1962
921	5	1964
922	5	1965
923	5	1967
924	5	1968
925	5	1971
926	5	1973
927	5	1980
928	5	1982
929	5	1983
930	5	1984
931	5	1988
932	5	1991
933	5	1993
934	5	1996
935	5	2001
936	5	2005
937	5	2007
938	5	2008
939	5	2014
940	5	2015
941	5	2017
942	5	2021
943	5	2022
944	5	2024
945	5	2025
946	5	2026
947	5	2028
948	5	2029
949	5	2030
950	5	2032
951	5	2033
952	5	2034
953	5	2035
954	5	2036
955	5	2037
956	5	2039
957	5	2040
958	5	2041
959	5	2042
960	5	2043
961	5	2044
962	5	2046
963	5	2047
964	5	2050
965	5	2053
966	5	2055
967	5	2058
968	5	2059
969	5	2066
970	5	2070
971	5	2089
972	5	2101
973	5	2123
974	5	2129
975	5	2130
976	5	2131
977	5	2141
978	5	2145
979	5	2146
980	5	2150
981	5	2152
982	5	2154
983	5	2156
984	5	2159
985	5	2166
986	5	2170
987	5	2171
988	5	2172
989	5	2174
990	5	2177
991	5	2182
992	5	2183
993	5	2187
994	5	2191
995	5	2194
996	5	2199
997	5	2208
998	5	2209
999	5	2211
1000	5	2219
1001	5	2222
1002	5	2225
1003	5	2226
1004	5	2227
1005	5	2230
1006	5	2232
1007	5	2233
1008	5	2235
1009	5	2237
1010	5	2238
1011	5	2239
1012	5	2241
1013	5	2242
1014	5	2243
1015	5	2244
1016	5	2249
1017	5	2250
1018	5	2253
1019	5	2258
1020	5	2261
1021	5	2264
1022	5	2265
1023	5	2273
1024	5	2275
1025	5	2277
1026	5	2279
1027	5	2284
1028	5	2285
1029	5	2287
1030	5	2292
1031	5	2318
1032	5	2319
1033	5	2321
1034	5	2322
1035	5	2324
1036	5	2325
1037	5	2341
1038	5	2342
1039	5	2581
1040	5	2360
1041	5	2378
1042	5	2384
1043	5	2386
1044	5	2387
1045	5	2388
1046	5	2390
1047	5	2397
1048	5	2399
1049	5	2411
1050	5	2417
1051	5	2419
1052	5	2422
1053	5	2426
1054	5	2439
1055	5	2440
1056	5	2446
1057	5	2448
1058	5	2449
1059	5	2450
1060	5	2471
1061	5	2498
1062	5	2533
1063	5	2589
1064	5	2616
1065	5	2623
1066	5	2624
1067	5	2626
1068	5	2629
1069	5	2630
1070	5	2664
1071	5	2755
1072	5	2768
1073	5	2773
1074	5	2790
1075	5	2792
1076	5	2793
1077	5	2796
1078	5	2799
1079	5	2801
1080	5	2802
1081	5	2804
1082	5	2806
1083	5	2808
1084	5	2810
1085	5	2811
1086	5	2828
1087	5	2844
1088	5	2857
1089	5	2858
1090	5	2870
1091	5	2879
1092	5	2883
1093	5	2885
1094	5	2886
1095	5	2898
1096	5	2900
1097	5	2901
1098	5	2902
1099	5	2904
1100	5	2905
1101	5	2906
1102	5	2914
1103	5	2916
1104	5	2921
1105	5	2930
1106	5	2931
1107	5	2935
1108	5	2936
1109	5	2937
1110	5	2940
1111	5	2941
1112	5	2942
1113	5	2944
1114	5	2945
1115	5	2946
1116	5	2947
1117	5	2955
1118	5	2957
1119	5	2958
1120	5	2959
1121	5	2960
1122	5	2962
1123	5	2963
1124	5	2972
1125	5	3000
1126	5	3013
1127	5	3045
1128	5	3058
1129	5	3060
1130	5	3064
1131	5	3066
1132	5	3067
1133	5	3068
1134	5	3072
1135	5	3078
1136	5	3086
1137	5	3089
1138	5	3101
1139	5	3102
1140	5	3104
1141	5	3106
1142	5	3108
1143	5	3110
1144	5	3112
1145	5	3114
1146	5	3116
1147	5	3119
1148	5	3123
1149	5	3126
1150	5	3127
1151	5	3128
1152	5	3130
1153	5	3137
1154	5	3138
1155	5	3144
1156	5	3147
1157	5	3152
1158	5	3156
1159	5	3160
1160	5	3161
1161	5	3162
1162	5	3164
1163	5	3179
1164	5	3188
1165	5	3189
1166	5	3191
1167	5	3193
1168	5	3199
1169	5	3200
1170	5	3207
1171	5	3208
1172	5	3214
1173	5	3217
1174	5	3235
1175	5	3245
1176	5	3247
1177	5	3262
1178	5	3264
1179	5	3268
1180	5	3282
1181	5	3287
1182	5	3290
1183	5	3296
1184	5	3297
1185	5	3323
1186	5	3329
1187	5	3331
1188	5	3337
1189	5	3347
1190	5	3356
1191	5	3360
1192	5	3361
1193	5	3378
1194	5	3380
1195	5	3383
1196	5	3387
1197	5	3392
1198	5	3398
1199	5	3399
1200	5	3400
1201	5	3407
1202	5	3417
1203	5	3423
1204	5	3462
1205	5	3471
1206	5	3523
1207	5	3526
1208	5	3527
1209	5	3546
1210	5	3559
1211	5	3561
1212	5	3563
1213	5	3564
1214	5	3566
1215	5	3567
1216	5	3569
1217	5	3572
1218	5	3588
1219	5	3597
1220	5	3601
1221	5	3606
1222	5	3607
1223	5	3619
1224	5	3661
1225	5	3675
1226	5	3687
1227	5	3688
1228	5	3690
1229	5	3695
1230	5	3698
1231	5	3712
1232	5	3716
1233	5	3717
1234	5	3719
1235	5	3720
1236	5	3722
1237	5	3725
1238	5	3728
1239	5	3729
1240	5	3734
1241	5	3746
1242	5	3747
1243	5	3750
1244	5	3762
1245	5	3769
1246	5	3771
1247	5	3773
1248	5	3781
1249	5	3783
1250	5	3787
1251	5	3790
1252	5	3792
1253	5	3800
1254	5	3805
1255	5	3810
1256	5	3817
1257	5	3818
1258	5	3819
1259	5	3824
1260	5	3826
1261	5	3827
1262	5	3829
1263	5	3830
1264	5	3831
1265	5	3835
1266	5	3836
1267	5	3840
1268	5	3850
1269	5	3853
1270	5	3854
1271	5	3859
1272	5	3860
1273	5	3861
1274	5	3863
1275	5	3867
1276	5	3868
1277	5	3869
1278	5	3870
1279	5	3875
1280	5	3876
1281	5	3877
1282	5	3879
1283	5	3880
1284	5	3881
1285	5	3882
1286	5	3883
1287	5	3884
1288	5	3885
1289	5	3886
1290	5	3891
1291	5	3892
1292	5	3895
1293	5	3899
1294	5	3900
1295	5	3917
1296	5	3946
1297	5	3987
1298	5	3994
1299	5	3999
1300	5	4003
1301	5	4004
1302	5	4009
1303	5	4010
1304	5	4011
1305	5	4016
1306	5	4017
1307	5	4024
1308	5	4026
1309	5	4027
1310	5	4028
1311	5	4029
1312	5	4032
1313	5	4035
1314	5	4036
1315	5	4037
1316	5	4038
1317	5	4040
1318	5	4045
1319	5	4047
1320	5	4048
1321	5	4054
1322	5	4058
1323	5	4073
1324	5	4074
1325	5	4075
1326	5	4079
1327	5	4081
1328	5	4082
1329	5	4085
1330	5	4089
1331	5	4091
1332	5	4096
1333	5	4097
1334	5	4101
1335	5	4103
1336	5	4104
1337	5	4108
1338	5	4114
1339	5	4115
1340	5	4121
1341	5	4126
1342	5	4127
1343	5	4136
1344	5	4137
1345	5	4139
1346	5	4140
1347	5	4141
1348	5	4143
1349	5	4146
1350	5	4150
1351	5	4169
1352	5	4209
1353	5	4210
1354	5	4231
1355	5	4236
1356	5	4237
1357	5	4240
1358	5	4249
1359	5	4251
1360	5	4254
1361	5	4258
1362	5	4281
1363	5	4282
1364	5	4290
1365	5	4291
1366	5	4295
1367	5	4300
1368	5	4304
1369	5	4311
1370	5	4314
1371	5	4323
1372	5	4343
1373	5	4344
1374	5	4441
1375	5	4481
1376	5	4485
1377	5	4486
1378	5	4516
1379	5	4517
1380	5	4518
1381	5	4525
1382	5	4528
1383	5	4532
1384	5	4534
1385	5	4535
1386	5	4608
1387	5	4611
1388	5	4618
1389	5	4622
1390	5	4633
1391	5	4647
1392	5	4648
1393	5	4653
1394	5	4659
1395	5	4662
1396	5	4665
1397	5	4667
1398	5	4676
1399	5	4706
1400	5	4707
1401	5	4708
1402	5	4714
1403	5	4716
1404	5	4719
1405	5	4722
1406	5	4723
1407	5	4737
1408	5	4738
1409	5	4739
1410	5	4740
1411	5	4745
1412	5	4747
1413	5	4750
1414	5	4751
1415	5	4760
1416	5	4773
1417	5	4775
1418	5	4788
1419	5	4789
1420	5	4798
1421	5	4799
1422	5	4802
1423	5	4804
1424	5	4805
1425	5	4809
1426	5	4810
1427	5	4811
1428	5	4813
1429	5	4814
1430	5	4815
1431	5	4816
1432	5	4817
1433	5	4818
1434	5	4819
1435	5	4820
1436	5	4821
1437	5	4822
1438	5	4823
1439	5	4828
1440	5	4838
1441	5	4839
1442	5	4902
1443	5	4907
1444	5	4908
1445	5	4916
1446	5	4917
1447	5	4920
1448	5	4923
1449	5	4928
1450	5	4930
1451	5	4936
1452	5	4940
1453	5	4943
1454	5	4944
1455	5	4947
1456	5	4953
1457	5	4955
1458	5	4956
1459	5	4957
1460	5	4958
1461	5	4959
1462	5	4960
1463	5	4962
1464	5	4963
1465	5	4965
1466	5	4966
1467	5	4967
1468	5	4971
1469	5	4972
1470	5	4973
1471	5	4974
1472	5	4975
1473	5	4977
1474	5	4978
1475	5	4979
1476	5	4988
1477	5	4996
1478	5	4998
1479	5	4999
1480	5	5008
1481	5	5009
1482	5	5015
1483	5	5022
1484	5	5024
1485	5	5026
1486	5	5029
1487	5	5030
1488	5	5031
1489	5	5033
1490	5	5046
1491	5	5051
1492	5	5066
1493	5	5068
