"id"	"substance_id"	"structure_flag_id"	"validated"
3391	5170	9	"false"
3392	2609	9	"false"
3393	3208	9	"false"
3394	6575	9	"false"
3395	2612	9	"false"
3396	8132	9	"false"
3397	7019	9	"false"
3398	7009	9	"false"
3399	4963	9	"false"
3400	3162	9	"false"
3401	2411	9	"false"
3402	3667	9	"false"
3403	2810	9	"false"
3404	5736	9	"false"
3406	3217	9	"false"
3407	1151	9	"false"
3408	6566	9	"false"
3409	5397	9	"false"
3410	890	9	"false"
3412	372	9	"false"
3413	4091	9	"false"
3414	3591	9	"false"
3415	3496	9	"false"
3417	5923	9	"false"
3418	5611	9	"false"
3419	4604	9	"false"
3421	5284	9	"false"
3422	2406	9	"false"
3423	8790	9	"false"
3424	6268	9	"false"
3425	7151	9	"false"
3426	8159	9	"false"
3427	5294	9	"false"
3429	1156	9	"false"
3430	885	9	"false"
3431	7366	9	"false"
3432	4549	9	"false"
3433	3926	9	"false"
3435	7359	9	"false"
3436	822	9	"false"
3437	7212	9	"false"
3438	5992	9	"false"
3439	4391	9	"false"
3440	265	9	"false"
3441	2883	9	"false"
3442	4821	9	"false"
3443	869	9	"false"
3444	7378	9	"false"
3445	4433	9	"false"
3446	606	9	"false"
3449	2208	9	"false"
3450	6702	9	"false"
3451	85	9	"false"
3452	7624	9	"false"
3453	698	9	"false"
3455	6529	9	"false"
3456	2144	9	"false"
3457	8268	9	"false"
3458	1422	9	"false"
3459	645	9	"false"
3460	4112	9	"false"
3461	5560	9	"false"
3462	1718	9	"false"
3463	9032	9	"false"
3464	6381	9	"false"
3465	1281	9	"false"
3467	4473	9	"false"
3468	3681	9	"false"
3469	3318	9	"false"
3471	1775	9	"false"
3472	7341	9	"false"
3473	5417	9	"false"
3474	3474	9	"false"
3475	5901	9	"false"
3476	7828	9	"false"
3477	4195	9	"false"
3478	9022	9	"false"
3479	4738	9	"false"
3480	3699	9	"false"
3482	6470	9	"false"
3483	3274	9	"false"
3484	7386	9	"false"
3485	9037	9	"false"
3486	3844	9	"false"
3487	564	9	"false"
3488	6109	9	"false"
3489	3793	9	"false"
3490	3027	9	"false"
3491	1828	9	"false"
3492	6560	9	"false"
3493	3545	9	"false"
3495	8963	9	"false"
3496	6161	9	"false"
3497	2960	9	"false"
3498	9078	9	"false"
3499	3960	9	"false"
3501	4376	9	"false"
3502	8748	9	"false"
3503	6234	9	"false"
3504	8138	9	"false"
3505	4101	9	"false"
3506	263	9	"false"
3507	2946	9	"false"
3508	4615	9	"false"
3509	7982	9	"false"
3511	4769	9	"false"
3512	7429	9	"false"
3513	2805	9	"false"
3514	9147	9	"false"
3515	9320	9	"false"
3516	750	9	"false"
3517	3632	9	"false"
3518	6437	9	"false"
3519	8337	9	"false"
3520	1706	9	"false"
3522	6241	9	"false"
3524	5522	9	"false"
3525	4660	9	"false"
3527	3688	9	"false"
3528	6860	9	"false"
3529	2601	9	"false"
3530	3628	9	"false"
3532	1616	9	"false"
3533	954	9	"false"
3536	3870	9	"false"
3539	897	9	"false"
3540	1649	9	"false"
3542	5340	9	"false"
3544	7118	9	"false"
3545	1578	9	"false"
3546	5232	9	"false"
3547	4257	9	"false"
3548	1399	9	"false"
3549	1518	9	"false"
3550	5381	9	"false"
3551	7157	9	"false"
3553	5408	9	"false"
3556	4395	9	"false"
3557	878	9	"false"
3558	6020	9	"false"
3560	2540	9	"false"
3561	2493	9	"false"
3562	6970	9	"false"
3563	6357	9	"false"
3564	137	9	"false"
3565	4940	9	"false"
3566	2124	9	"false"
3567	4448	9	"false"
3568	3886	9	"false"
3570	1085	9	"false"
3571	2477	9	"false"
3572	8165	9	"false"
3573	2235	9	"false"
3574	2222	9	"false"
3575	2862	9	"false"
3577	1076	9	"false"
3578	4686	9	"false"
3579	1541	9	"false"
3583	8155	9	"false"
3584	114	9	"false"
3585	1558	9	"false"
3586	8326	9	"false"
3587	435	9	"false"
3588	509	9	"false"
3589	8608	9	"false"
3590	5969	9	"false"
3591	3792	9	"false"
3593	1713	9	"false"
3594	6770	9	"false"
726	3296	5	"true"
3595	864	9	"false"
3597	7308	9	"false"
3598	3588	9	"false"
3599	5208	9	"false"
3603	707	9	"false"
3604	2258	9	"false"
3606	4434	9	"false"
3607	7284	9	"false"
3608	2556	9	"false"
3609	6396	9	"false"
3610	3100	9	"false"
3611	6657	9	"false"
3612	6644	9	"false"
3613	986	9	"false"
3614	5661	9	"false"
3616	7721	9	"false"
3618	1054	9	"false"
3619	7202	9	"false"
3620	6145	9	"false"
3621	5652	9	"false"
3622	2313	9	"false"
3623	6930	9	"false"
3624	5677	9	"false"
3625	5470	9	"false"
3626	7391	9	"false"
3627	5218	9	"false"
3628	5743	9	"false"
3630	2769	9	"false"
3631	3285	9	"false"
3632	5291	9	"false"
3633	1042	9	"false"
3634	4709	9	"false"
3635	6403	9	"false"
3636	3805	9	"false"
3637	8334	9	"false"
3638	2219	9	"false"
3639	7680	9	"false"
3640	7370	9	"false"
3641	3917	9	"false"
3644	1750	9	"false"
3645	2234	9	"false"
3646	348	9	"false"
3647	8055	9	"false"
3648	7133	9	"false"
3649	7987	9	"false"
3651	3601	9	"false"
3652	4808	9	"false"
3653	8812	9	"false"
3654	8580	9	"false"
3657	8329	9	"false"
3658	1660	9	"false"
3660	133	9	"false"
3661	943	9	"false"
3662	4456	9	"false"
3663	3720	9	"false"
3665	1918	9	"false"
3666	6889	9	"false"
3667	6069	9	"false"
3668	1102	9	"false"
3670	684	9	"false"
3671	4633	9	"false"
3672	8848	9	"false"
3673	3166	9	"false"
3674	886	9	"false"
3675	7079	9	"false"
3676	9017	9	"false"
3677	2154	9	"false"
3678	1140	9	"false"
3679	7562	9	"false"
3680	3181	9	"false"
3681	814	9	"false"
3682	5654	9	"false"
3683	8840	9	"false"
3684	5290	9	"false"
3685	696	9	"false"
3686	8427	9	"false"
3687	7223	9	"false"
3688	3110	9	"false"
3689	5550	9	"false"
