id,substances_id,bp_degc,mp_degc,vp_mmhg,logp
517,200,298.877,181.643,1.2372e-06,0.683995
518,201,374.168,135.933,3.28703e-10,8.1545
520,203,350.22,51.145,7.78922e-07,2.6693
521,204,306.788,24.5622,7.47236e-06,5.0808
522,205,391.178,154.94,4.76698e-09,3.87193
523,206,337.548,212.958,3.83004e-10,2.79034
524,207,374.158,121.873,3.36956e-10,8.13478
525,208,328.26,199.679,3.73042e-09,4.1427
526,209,435.011,175.032,7.85892e-10,9.72907
527,210,292.169,158.086,3.07764e-11,3.56624
528,211,255.392,220.65,1.15546e-10,-0.239686
529,212,361.149,89.0721,1.44973e-07,5.4084
530,213,264.158,79.1938,0.0401162,2.35084
531,214,389.586,173.077,8.84171e-09,3.20199
532,215,418.475,222.045,6.85325e-09,2.10268
533,216,454.876,255.452,2.22514e-10,2.34041
534,217,326.992,233.61,1.98661e-08,1.24988
535,218,277.033,90.0066,3.30833e-05,0.0735855
536,219,337.655,190.016,6.63326e-10,2.83602
537,220,346.707,114.993,1.9802e-08,2.89336
538,221,366.509,17.9015,9.47678e-08,6.17924
539,222,328.393,207.117,3.79875e-07,-0.160581
540,223,345.53,164.787,3.13542e-10,2.25954
541,224,314.357,133.049,1.18639e-10,-2.82353
542,225,205.203,31.8518,0.101768,1.31993
543,226,401.517,204.206,1.68516e-08,-2.05051
544,227,328.361,174.311,2.98537e-09,3.88985
545,228,221.503,6.6834,0.0810518,3.3618
546,229,314.023,128.546,6.75547e-11,-2.21957
547,230,266.136,30.4906,0.00115128,1.91079
548,231,465.181,223.245,5.37537e-11,1.80065
549,232,341.65,195.214,6.1407e-08,0.625737
550,233,302.317,87.9581,1.40864e-05,3.11453
551,234,313.97,141.556,3.97869e-10,-2.12386
552,235,333.882,147.129,9.1655e-08,1.53195
553,236,365.938,196.192,6.7506e-09,2.40115
554,237,364.613,136.904,3.56432e-08,3.25998
555,238,352.762,150.474,8.87805e-08,2.87993
556,239,344.93,180.075,4.77488e-10,2.95287
557,240,342.142,39.3969,1.60886e-06,3.80418
558,241,306.341,194.132,1.05811e-08,-2.45799
559,242,389.429,136.588,1.2832e-08,4.67688
560,243,254.775,222.907,9.21614e-09,0.780993
561,244,289.668,206.674,4.15462e-10,0.242663
562,245,302.891,236.475,8.66734e-10,0.14131
563,246,316.425,146.271,1.25941e-10,0.611009
564,247,426.681,136.522,2.8468e-09,2.30417
565,248,361.925,70.1915,8.9879e-08,3.7348
566,249,341.076,159.43,1.95463e-10,0.740559
567,250,311.335,157.974,8.95823e-10,-2.31953
568,251,343.723,217.482,5.01955e-10,-1.30002
569,252,288.339,185.423,2.38149e-11,-1.32373
570,253,281.199,142.444,0.00118675,1.86534
571,254,268.832,157.22,0.0537924,0.31946
572,255,339.957,156.882,7.09257e-06,4.45094
573,256,303.704,138.102,3.43124e-06,2.33723
